Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100n X7R,
"D1, D13, D2, D3, D4",1206,5,BLUE,
"D10, D11, D12, D9",1206,4,RED,
"D5, D6, D7, D8",1206,4,GREEN,
"JP1, JP2, JP3",PinHeader_1x03_P2.54mm_Vertical,3,Jumper_3_Open,
"R1, R2",0805,2,4k7,
"R10, R11, R12, R13, R14, R15, R16, R17",0805,8,750,
"R18, R19",0805,2,220,
"R20, R6, R7, R8, R9",0805,5,300,
"R3, R4, R5",0805,3,10k,
"SW1, SW2, SW3, SW4",EG1271A,4,EG1271A,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",KEYS4952,15,TestPoint,
U1,SO-8_3.9x4.9mm_P1.27mm,1,LM75B,
"U2, U3",DIP-8_W7.62mm,2,MCP2551-I-P,
"U4, U5",NUCLEO64,2,NUCLEO64-F446RE,
