Designator,Mid X,Mid Y,Rotation,Layer
C1,151.5,-86.0,180.0,top
C2,99.4,-78.38,90.0,top
C3,203.9,-78.38,270.0,top
D1,174.98,-91.6,180.0,top
D10,91.4,-103.98,0.0,top
D11,97.4,-103.98,0.0,top
D12,103.4,-103.98,0.0,top
D13,217.2,-91.6,180.0,top
D2,184.013333,-91.6,180.0,top
D3,193.046666,-91.6,180.0,top
D4,202.08,-91.6,180.0,top
D5,110.9,-103.98,0.0,top
D6,116.9,-103.98,0.0,top
D7,122.9,-103.98,0.0,top
D8,128.9,-103.98,0.0,top
D9,85.4,-103.98,0.0,top
JP1,156.7,-75.82,0.0,top
JP2,151.6,-75.82,0.0,top
JP3,146.54,-75.82,0.0,top
R1,144.0,-89.0,180.0,top
R10,110.9,-100.88,0.0,top
R11,116.9,-100.88,0.0,top
R12,122.9,-100.88,0.0,top
R13,128.9,-100.88,0.0,top
R14,85.4,-100.88,0.0,top
R15,91.4,-100.88,0.0,top
R16,97.4,-100.88,0.0,top
R17,103.4,-100.88,0.0,top
R18,115.0,-78.38,90.0,top
R19,188.2,-78.38,90.0,top
R2,144.0,-92.6,180.0,top
R20,217.18,-88.6,180.0,top
R3,158.0,-88.4,0.0,top
R4,158.0,-90.5,0.0,top
R5,158.0,-92.6,0.0,top
R6,175.0,-88.6,180.0,top
R7,184.033333,-88.6,180.0,top
R8,193.066666,-88.6,180.0,top
R9,202.1,-88.6,180.0,top
SW1,88.627841,-90.58,270.0,top
SW2,101.0,-90.58,270.0,top
SW3,113.0,-90.58,270.0,top
SW4,125.0,-90.58,270.0,top
U1,151.6,-90.5,0.0,top
U2,103.4,-82.18,90.0,top
U3,199.891571,-74.58,270.0,top
U4,75.4,-73.8,0.0,top
U5,164.3,-73.8,0.0,top
